full_acc,strain,date,variant_count,variant_label,lineage
EPI_ISL_18133233,A/Mallard/NewHampshire/USDA-003417-047/2022,1/26/22,1767,V1,A
EPI_ISL_18133230,A/Mallard/NewHampshire/USDA-003417-048/2022,1/26/22,1767,V1,A
EPI_ISL_18133226,A/Mallard/NewHampshire/USDA-003417-053/2022,1/26/22,1767,V1,A
EPI_ISL_18133178,A/Mallard/NewHampshire/USDA-003359-006/2022,1/26/22,1767,V1,A
EPI_ISL_18132478,A/WoodDuck/NorthCarolina/USDA-003829-001/2022,1/29/22,1767,V1,A
EPI_ISL_18132362,A/NorthernShoveler/NorthCarolina/USDA-003831-019/2022,1/29/22,1767,V1,A
EPI_ISL_18133524,A/Gadwall/Virginia/USDA-003923-001/2022,1/29/22,1767,V1,A
EPI_ISL_19604050,A/mallard/Tennessee/22-024871-017/2022,1/30/22,1767,V1,A
EPI_ISL_19606557,A/americanwigeon/Tennessee/22-024871-016/2022,1/30/22,1767,V1,B
EPI_ISL_18107055,A/americanwigeon/Tennessee/CEIRR-301/2022,1/30/22,1767,V1,B
EPI_ISL_18107048,A/mallardduck/Tennessee/CEIRR-303/2022,1/30/22,1767,V1,A
EPI_ISL_18107049,A/mallardduck/Tennessee/CEIRR-307/2022,1/31/22,1767,V1,B
EPI_ISL_18132937,A/BaldEagle/Florida/USDA-006544-005/2022,2/1/22,1767,V1,A
EPI_ISL_18133196,A/Mallard/NorthCarolina/USDA-004008-002/2022,2/1/22,1767,V1,A
EPI_ISL_18133192,A/Mallard/NorthCarolina/USDA-004008-006/2022,2/1/22,1767,V1,A
EPI_ISL_18133188,A/Mallard/NorthCarolina/USDA-004008-010/2022,2/1/22,1767,V1,A
EPI_ISL_18133184,A/Mallard/NorthCarolina/USDA-004008-011/2022,2/1/22,1767,V1,A
EPI_ISL_18133389,A/goose/Massachusetts/USDA-005893-001/2022,2/3/22,1767,V1,A
EPI_ISL_18133386,A/goose/Massachusetts/USDA-005893-002/2022,2/3/22,1767,V1,A
EPI_ISL_18133268,A/Mallard/Connecticut/USDA-003935-022/2022,2/3/22,1767,V1,A
EPI_ISL_18133264,A/Mallard/Connecticut/USDA-003935-024/2022,2/3/22,1767,V1,A
EPI_ISL_18133145,A/Mallard/Connecticut/USDA-003935-001/2022,2/3/22,1767,V1,A
EPI_ISL_18133141,A/Mallard/Connecticut/USDA-003935-013/2022,2/3/22,1767,V1,A
EPI_ISL_18133137,A/Mallard/Connecticut/USDA-003935-014/2022,2/3/22,1767,V1,A
EPI_ISL_18132254,A/turkey/Indiana/USDA-003707-003/2022,2/7/22,1767,V1,B
EPI_ISL_18133253,A/Mallard/NewJersey/USDA-005110-001/2022,2/7/22,1767,V1,A
EPI_ISL_18133208,A/Mallard/NewJersey/USDA-005110-014/2022,2/7/22,1767,V1,A
EPI_ISL_9909371,A/turkey/Indiana/22-003707-003/2022,2/7/22,1767,V1,B
EPI_ISL_16641796,A/snowyowl/MA/22MM00323/2022,2/7/22,1767,V1,A
EPI_ISL_17768589,A/snowgoose/Kentucky/W22-092/2022,2/8/22,1767,V1,B
EPI_ISL_18132179,A/SnowGoose/Kentucky/USDA-004809-001/2022,2/8/22,1767,V1,B
EPI_ISL_18133467,A/Gadwall/Kentucky/USDA-005154-004/2022,2/8/22,1767,V1,B
EPI_ISL_18132607,A/chicken/Kentucky/USDA-004416-003/2022,2/11/22,1767,V1,B
EPI_ISL_18132603,A/chicken/Kentucky/USDA-004416-002/2022,2/11/22,1767,V1,B
EPI_ISL_18132599,A/chicken/Kentucky/USDA-004416-001/2022,2/11/22,1767,V1,B
EPI_ISL_11628215,A/chicken/Kentucky/22-004416-003/2022,2/11/22,1767,V1,B
EPI_ISL_11628214,A/chicken/Kentucky/22-004416-002/2022,2/11/22,1767,V1,B
EPI_ISL_11628213,A/chicken/Kentucky/22-004416-001/2022,2/11/22,1767,V1,B
EPI_ISL_17768577,A/lesserscaup/Georgia/W22-145D/2022,2/12/22,1767,V1,A
EPI_ISL_17768571,A/lesserscaup/Georgia/W22-145A/2022,2/12/22,1767,V1,A
EPI_ISL_17768570,A/lesserscaup/Georgia/W22-143/2022,2/12/22,1767,V1,A
EPI_ISL_18132703,A/turkey/Kentucky/USDA-004546-001/2022,2/12/22,1767,V1,B
EPI_ISL_11628217,A/turkey/Kentucky/22-004546-002/2022,2/12/22,1767,V1,B
EPI_ISL_11628216,A/turkey/Kentucky/22-004546-001/2022,2/12/22,1767,V1,B
EPI_ISL_18132475,A/WoodDuck/Tennessee/USDA-005907-002/2022,2/13/22,1767,V1,B
EPI_ISL_18132282,A/turkey/Indiana/USDA-004688-002/2022,2/14/22,1767,V1,B
EPI_ISL_18132250,A/turkey/Indiana/USDA-004688-003/2022,2/14/22,1767,V1,B
EPI_ISL_18132242,A/turkey/Indiana/USDA-004688-006/2022,2/14/22,1767,V1,B
EPI_ISL_11628220,A/turkey/Indiana/22-004688-006/2022,2/14/22,1767,V1,B
EPI_ISL_11628219,A/turkey/Indiana/22-004688-003/2022,2/14/22,1767,V1,B
EPI_ISL_11628218,A/turkey/Indiana/22-004688-002/2022,2/14/22,1767,V1,B
EPI_ISL_18133095,A/Backyardbird/Maine/USDA-005158-001/2022,2/17/22,1767,V1,A
EPI_ISL_11628221,A/chicken/Maine/22-005158-001/2022,2/17/22,1767,V1,A
EPI_ISL_18132234,A/turkey/Indiana/USDA-005328-001/2022,2/18/22,1767,V1,B
EPI_ISL_18132175,A/SnowGoose/Kentucky/USDA-006742-003/2022,2/18/22,1767,V1,B
EPI_ISL_11628228,A/turkey/Indiana/22-005328-002/2022,2/18/22,1767,V1,B
EPI_ISL_11628227,A/turkey/Indiana/22-005328-001/2022,2/18/22,1767,V1,B
EPI_ISL_18133407,A/BrownPelican/NorthCarolina/USDA-007917-001/2022,2/20/22,1767,V1,A
EPI_ISL_18133091,A/Backyardbird/Maine/USDA-005443-001/2022,2/20/22,1767,V1,A
EPI_ISL_11628232,A/chicken/Maine/22-005443-001/2022,2/20/22,1767,V1,A
EPI_ISL_18132231,A/turkey/Indiana/USDA-005696-001/2022,2/21/22,1767,V1,B
EPI_ISL_18132228,A/turkey/Indiana/USDA-005696-002/2022,2/21/22,1767,V1,B
EPI_ISL_18132225,A/turkey/Indiana/USDA-005696-003/2022,2/21/22,1767,V1,B
EPI_ISL_11628237,A/turkey/Indiana/22-005696-003/2022,2/21/22,1767,V1,B
EPI_ISL_11628236,A/turkey/Indiana/22-005696-002/2022,2/21/22,1767,V1,B
EPI_ISL_11628235,A/turkey/Indiana/22-005696-001/2022,2/21/22,1767,V1,B
EPI_ISL_18132268,A/SnowGoose/Missouri/USDA-006328-015/2022,2/22/22,1767,V1,A
EPI_ISL_18132260,A/SnowGoose/Missouri/USDA-006328-032/2022,2/22/22,1767,V1,A
EPI_ISL_18132414,A/Ross'sGoose/Missouri/USDA-006328-019/2022,2/22/22,1767,V1,B
EPI_ISL_18132169,A/SnowGoose/Missouri/USDA-006328-004/2022,2/22/22,1767,V1,B
EPI_ISL_18132167,A/SnowGoose/Missouri/USDA-006328-011/2022,2/22/22,1767,V1,A
EPI_ISL_18133114,A/Backyardbird/Michigan/USDA-005440-001/2022,2/22/22,1767,V1,B
EPI_ISL_18133106,A/Backyardbird/Michigan/USDA-005440-002/2022,2/22/22,1767,V1,B
EPI_ISL_18133075,A/Backyardbird/NewYork/USDA-005647-001/2022,2/22/22,1767,V1,A
EPI_ISL_18133072,A/Backyardbird/NewYork/USDA-005647-002/2022,2/22/22,1767,V1,A
EPI_ISL_11628234,A/pheasant/NewYork/22-005647-002/2022,2/22/22,1767,V1,A
EPI_ISL_11628233,A/pheasant/NewYork/22-005647-001/2022,2/22/22,1767,V1,A
EPI_ISL_11628231,A/guineafowl/Michigan/22-005440-003/2022,2/22/22,1767,V1,B
EPI_ISL_11628230,A/chicken/Michigan/22-005440-002/2022,2/22/22,1767,V1,B
EPI_ISL_11628229,A/turkey/Michigan/22-005440-001/2022,2/22/22,1767,V1,B
EPI_ISL_18132256,A/SnowGoose/Missouri/USDA-006805-001/2022,2/23/22,1767,V1,B
EPI_ISL_18132229,A/SnowGoose/NewHampshire/USDA-007420-001/2022,2/24/22,1767,V1,A
EPI_ISL_18133242,A/LesserScaup/Georgia/USDA-006543-001/2022,2/24/22,1767,V1,A
EPI_ISL_18133234,A/LesserScaup/Georgia/USDA-006543-002/2022,2/24/22,1767,V1,A
EPI_ISL_18133228,A/LesserScaup/Georgia/USDA-006543-005/2022,2/24/22,1767,V1,A
EPI_ISL_18133296,A/HerringGull/Ohio/USDA-007187-001/2022,2/25/22,1767,V1,A
EPI_ISL_18133031,A/BaldEagle/SouthCarolina/USDA-006218-001/2022,2/26/22,1767,V1,A
EPI_ISL_18133028,A/BaldEagle/SouthCarolina/USDA-006218-002/2022,2/26/22,1767,V1,A
EPI_ISL_18132459,A/SnowGoose/Kansas/USDA-006804-003/2022,2/28/22,1767,V1,B
EPI_ISL_18132455,A/SnowGoose/Kansas/USDA-006804-007/2022,2/28/22,1767,V1,B
EPI_ISL_18132222,A/turkey/Indiana/USDA-006259-001/2022,2/28/22,1767,V1,B
EPI_ISL_18133269,A/HoodedMerganser/Missouri/USDA-007184-001/2022,2/28/22,1767,V1,B
EPI_ISL_18133156,A/AmericanWhitePelican/Missouri/USDA-006970-001/2022,2/28/22,1767,V1,B
EPI_ISL_18133067,A/Backyardbird/Connecticut/USDA-006118-001/2022,2/28/22,1767,V1,A
EPI_ISL_18132997,A/Backyardbird/Iowa/USDA-006114-001/2022,2/28/22,1767,V1,A
EPI_ISL_11628241,A/turkey/Indiana/22-006259-002/2022,2/28/22,1767,V1,B
EPI_ISL_11628240,A/turkey/Indiana/22-006259-001/2022,2/28/22,1767,V1,B
EPI_ISL_11628239,A/chicken/Connecticut/22-006118-001/2022,2/28/22,1767,V1,A
EPI_ISL_11628238,A/silkiechicken/Iowa/22-006114-001/2022,2/28/22,1767,V1,A
EPI_ISL_18132226,A/SnowGoose/NewYork/USDA-008835-004/2022,3/1/22,1767,V1,A
EPI_ISL_18132406,A/Ross'sGoose/Missouri/USDA-012338-012/2022,3/1/22,1767,V1,A
EPI_ISL_18132368,A/turkey/Indiana/USDA-006261-002/2022,3/1/22,1767,V1,B
EPI_ISL_18132424,A/Pelican/Missouri/USDA-012338-020/2022,3/1/22,1767,V1,A
EPI_ISL_18132379,A/Pelican/Missouri/USDA-012338-019/2022,3/1/22,1767,V1,A
EPI_ISL_18132219,A/turkey/Indiana/USDA-006261-001/2022,3/1/22,1767,V1,B
EPI_ISL_18132932,A/BaldEagle/Georgia/USDA-008982-002/2022,3/1/22,1767,V1,A
EPI_ISL_18132902,A/BaldEagle/Missouri/USDA-007472-001/2022,3/1/22,1767,V1,B
EPI_ISL_18132838,A/BaldEagle/Missouri/USDA-012338-021/2022,3/1/22,1767,V1,B
EPI_ISL_18133447,A/goose/Ohio/USDA-007948-001/2022,3/1/22,1767,V1,A
EPI_ISL_18133278,A/HoodedMerganser/Florida/USDA-007915-003/2022,3/1/22,1767,V1,A
EPI_ISL_18133484,A/goose/Missouri/USDA-012338-029/2022,3/1/22,1767,V1,B
EPI_ISL_18133018,A/BaldEagle/SouthCarolina/USDA-008983-001/2022,3/1/22,1767,V1,A
EPI_ISL_11628243,A/turkey/Indiana/22-006261-002/2022,3/1/22,1767,V1,B
EPI_ISL_11628242,A/turkey/Indiana/22-006261-001/2022,3/1/22,1767,V1,B
EPI_ISL_14937101,A/baldeagle/SouthCarolina/W22-205/2022,3/1/22,1767,V1,A
EPI_ISL_18132850,A/BaldEagle/Ohio/USDA-007469-001/2022,3/2/22,1767,V1,A
EPI_ISL_18132650,A/chicken/Missouri/USDA-006569-007/2022,3/2/22,1767,V1,A
EPI_ISL_18132628,A/chicken/Missouri/USDA-006569-001/2022,3/2/22,1767,V1,A
EPI_ISL_18132625,A/chicken/Missouri/USDA-006569-004/2022,3/2/22,1767,V1,A
EPI_ISL_18132622,A/chicken/Missouri/USDA-006569-005/2022,3/2/22,1767,V1,A
EPI_ISL_18133260,A/Mallard/Illinois/USDA-007482-001/2022,3/2/22,1767,V1,B
EPI_ISL_11628245,A/chicken/Missouri/22-006569-002/2022,3/2/22,1767,V1,A
EPI_ISL_11628244,A/chicken/Missouri/22-006569-001/2022,3/2/22,1767,V1,A
EPI_ISL_18132975,A/BlackVulture/Florida/USDA-006981-001/2022,3/3/22,1767,V1,A
EPI_ISL_18133337,A/Duck/Florida/USDA-006447-001/2022,3/3/22,1767,V1,A
EPI_ISL_14937105,A/baldeagle/Florida/W22-189/2022,3/3/22,1767,V1,A
EPI_ISL_11897669,A/turkey/SouthDakota/22-006792-002/2022,3/4/22,1767,V1,A
EPI_ISL_11897668,A/turkey/SouthDakota/22-006792-001/2022,3/4/22,1767,V1,A
EPI_ISL_18132252,A/SnowGoose/Missouri/USDA-007698-001/2022,3/4/22,1767,V1,B
EPI_ISL_18132248,A/SnowGoose/Missouri/USDA-007698-002/2022,3/4/22,1767,V1,B
EPI_ISL_18132189,A/SnowGoose/Missouri/USDA-007698-003/2022,3/4/22,1767,V1,A
EPI_ISL_18132823,A/turkey/SouthDakota/USDA-006792-001/2022,3/4/22,1767,V1,A
EPI_ISL_18132736,A/turkey/SouthDakota/USDA-006792-002/2022,3/4/22,1767,V1,A
EPI_ISL_18132892,A/BaldEagle/Michigan/USDA-010622-003/2022,3/4/22,1767,V1,B
EPI_ISL_18133410,A/BrownPelican/Florida/USDA-007313-001/2022,3/4/22,1767,V1,A
EPI_ISL_18133025,A/BaldEagle/SouthCarolina/USDA-007918-001/2022,3/4/22,1767,V1,A
EPI_ISL_18133022,A/BaldEagle/SouthCarolina/USDA-007918-002/2022,3/4/22,1767,V1,A
EPI_ISL_11628250,A/turkey/SouthDakota/22-006792-002/2022,3/4/22,1767,V1,A
EPI_ISL_11628249,A/turkey/SouthDakota/22-006792-001/2022,3/4/22,1767,V1,A
EPI_ISL_11897671,A/turkey/Iowa/22-006795-002/2022,3/6/22,1767,V1,B
EPI_ISL_11897670,A/turkey/Iowa/22-006795-001/2022,3/6/22,1767,V1,B
EPI_ISL_18132324,A/SnowGoose/Kansas/USDA-007919-002/2022,3/6/22,1767,V1,B
EPI_ISL_18132446,A/Ross'sGoose/Illinois/USDA-007691-001/2022,3/6/22,1767,V1,A
EPI_ISL_18132558,A/turkey/Iowa/USDA-006795-001/2022,3/6/22,1767,V1,B
EPI_ISL_11628252,A/turkey/Iowa/22-006795-002/2022,3/6/22,1767,V1,B
EPI_ISL_11628251,A/turkey/Iowa/22-006795-001/2022,3/6/22,1767,V1,B
EPI_ISL_18132473,A/Ring-billedGull/Florida/USDA-007915-012/2022,3/7/22,1767,V1,B
EPI_ISL_18132846,A/BaldEagle/Ohio/USDA-007697-001/2022,3/7/22,1767,V1,A
EPI_ISL_18133499,A/goose/Nebraska/USDA-007179-001/2022,3/7/22,1767,V1,B
EPI_ISL_18133474,A/goose/Nebraska/USDA-007169-001/2022,3/7/22,1767,V1,A
EPI_ISL_11897678,A/turkey/Missouri/22-007087-002/2022,3/8/22,1767,V1,B
EPI_ISL_11897677,A/turkey/Missouri/22-007087-001/2022,3/8/22,1767,V1,B
EPI_ISL_19604212,A/pelican/Missouri/22-012338-011/2022,3/8/22,1767,V1,B
EPI_ISL_18132477,A/SnowGoose/Iowa/USDA-007764-001/2022,3/8/22,1767,V1,A
EPI_ISL_18132442,A/Ross'sGoose/Iowa/USDA-007551-001/2022,3/8/22,1767,V1,B
EPI_ISL_18132438,A/Ross'sGoose/Iowa/USDA-007766-003/2022,3/8/22,1767,V1,B
EPI_ISL_18132196,A/SnowGoose/Missouri/USDA-007700-004/2022,3/8/22,1767,V1,B
EPI_ISL_18132193,A/SnowGoose/Missouri/USDA-007700-003/2022,3/8/22,1767,V1,B
EPI_ISL_18132191,A/SnowGoose/Missouri/USDA-007700-001/2022,3/8/22,1767,V1,B
EPI_ISL_18132748,A/turkey/Missouri/USDA-007087-001/2022,3/8/22,1767,V1,B
EPI_ISL_18132868,A/BaldEagle/Georgia/USDA-008982-001/2022,3/8/22,1767,V1,A
EPI_ISL_14937103,A/baldeagle/Georgia/W22-194A/2022,3/8/22,1767,V1,A
EPI_ISL_11897683,A/guineafowl/Illinois/22-007382-001/2022,3/9/22,1767,V1,B
EPI_ISL_18132288,A/SnowGoose/SouthDakota/USDA-007946-002/2022,3/9/22,1767,V1,A
EPI_ISL_18132984,A/BlackSwift/Michigan/USDA-007412-003/2022,3/9/22,1767,V1,B
EPI_ISL_18132948,A/BlackVulture/Florida/USDA-007872-001/2022,3/9/22,1767,V1,A
EPI_ISL_18133331,A/Guineafowl/Illinois/USDA-007382-001/2022,3/9/22,1767,V1,B
EPI_ISL_18133054,A/BlackSwift/Michigan/USDA-007412-002/2022,3/9/22,1767,V1,B
EPI_ISL_18133010,A/BaldEagle/SouthDakota/USDA-009405-001/2022,3/9/22,1767,V1,A
EPI_ISL_11897687,A/chicken/Maine/22-007410-002/2022,3/10/22,1767,V1,A
EPI_ISL_11897686,A/turkey/Maine/22-007410-001/2022,3/10/22,1767,V1,A
EPI_ISL_11897682,A/chicken/Iowa/22-007376-002/2022,3/10/22,1767,V1,B
EPI_ISL_11897681,A/chicken/Iowa/22-007376-001/2022,3/10/22,1767,V1,B
EPI_ISL_18132541,A/chicken/Iowa/USDA-007376-012/2022,3/10/22,1767,V1,B
EPI_ISL_18132576,A/chicken/Iowa/USDA-007376-007/2022,3/10/22,1767,V1,B
EPI_ISL_18132553,A/chicken/Iowa/USDA-007376-001/2022,3/10/22,1767,V1,B
EPI_ISL_18132549,A/chicken/Iowa/USDA-007376-003/2022,3/10/22,1767,V1,B
EPI_ISL_18132545,A/chicken/Iowa/USDA-007376-005/2022,3/10/22,1767,V1,B
EPI_ISL_18133087,A/Backyardbird/Maine/USDA-007410-001/2022,3/10/22,1767,V1,A
EPI_ISL_18133083,A/Backyardbird/Maine/USDA-007410-002/2022,3/10/22,1767,V1,A
EPI_ISL_11897692,A/chicken/Maine/22-007582-001/2022,3/11/22,1767,V1,A
EPI_ISL_11897689,A/turkey/SouthDakota/22-007534-002/2022,3/11/22,1767,V1,B
EPI_ISL_11897688,A/turkey/SouthDakota/22-007534-001/2022,3/11/22,1767,V1,B
EPI_ISL_18132360,A/PeregrineFalcon/Missouri/USDA-012338-003/2022,3/11/22,1767,V1,A
EPI_ISL_18132869,A/turkey/SouthDakota/USDA-007534-001/2022,3/11/22,1767,V1,B
EPI_ISL_18132503,A/Sharp-shinnedHawk/Missouri/USDA-012338-002/2022,3/11/22,1767,V1,A
EPI_ISL_18133080,A/Backyardbird/Maine/USDA-007582-001/2022,3/11/22,1767,V1,A
EPI_ISL_18133175,A/Mallard/Missouri/USDA-012338-001/2022,3/11/22,1767,V1,A
EPI_ISL_18132251,A/SnowGoose/Missouri/USDA-012338-004/2022,3/12/22,1767,V1,B
EPI_ISL_18132247,A/SnowGoose/Missouri/USDA-012338-005/2022,3/12/22,1767,V1,B
EPI_ISL_18132187,A/SnowGoose/Kansas/USDA-008980-006/2022,3/12/22,1767,V1,B
EPI_ISL_14937100,A/snowgoose/Kansas/W22-199B/2022,3/12/22,1767,V1,B
EPI_ISL_14937000,A/snowgoose/Kansas/W22-199D/2022,3/12/22,1767,V1,B
EPI_ISL_11897691,A/chicken/Wisconsin/22-007545-002/2022,3/13/22,1767,V1,B
EPI_ISL_11897690,A/chicken/Wisconsin/22-007545-001/2022,3/13/22,1767,V1,B
EPI_ISL_18132277,A/Swan/Nebraska/USDA-008227-001/2022,3/13/22,1767,V1,A
EPI_ISL_18133349,A/Cooper'sHawk/Wisconsin/USDA-009404-002/2022,3/13/22,1767,V1,A
EPI_ISL_18132624,A/chicken/Wisconsin/USDA-007545-001/2022,3/13/22,1767,V1,B
EPI_ISL_18132588,A/chicken/Wisconsin/USDA-007545-004/2022,3/13/22,1767,V1,B
EPI_ISL_18132581,A/chicken/Wisconsin/USDA-007545-005/2022,3/13/22,1767,V1,B
EPI_ISL_11897694,A/chicken/Missouri/22-007677-002/2022,3/14/22,1767,V1,A
EPI_ISL_11897693,A/chicken/Missouri/22-007677-001/2022,3/14/22,1767,V1,A
EPI_ISL_19605290,A/goose/Illinois/22-008377-004/2022,3/14/22,1767,V1,B
EPI_ISL_18132970,A/BlackVulture/Florida/USDA-008153-001/2022,3/14/22,1767,V1,A
EPI_ISL_18132986,A/BaldEagle/Wisconsin/USDA-009404-001/2022,3/14/22,1767,V1,B
EPI_ISL_18133265,A/LesserSnowGooseWhite/Iowa/USDA-007679-001/2022,3/14/22,1767,V1,B
EPI_ISL_18133261,A/LesserSnowGooseWhite/Iowa/USDA-007679-005/2022,3/14/22,1767,V1,B
EPI_ISL_18133522,A/GraylagGoose/Illinois/USDA-008377-002/2022,3/14/22,1767,V1,B
EPI_ISL_18133520,A/GraylagGoose/Illinois/USDA-008377-005/2022,3/14/22,1767,V1,B
EPI_ISL_18133238,A/LesserSnowGooseWhite/Iowa/USDA-007679-003/2022,3/14/22,1767,V1,B
EPI_ISL_18133216,A/LesserSnowGooseWhite/Iowa/USDA-007679-008/2022,3/14/22,1767,V1,B
EPI_ISL_18133214,A/LesserSnowGooseBlue/Iowa/USDA-007679-006/2022,3/14/22,1767,V1,B
EPI_ISL_18133210,A/LesserSnowGooseBlue/Iowa/USDA-007679-007/2022,3/14/22,1767,V1,B
EPI_ISL_18133169,A/LesserSnowGooseWhite/Iowa/USDA-007679-009/2022,3/14/22,1767,V1,B
EPI_ISL_18133116,A/Backyardbird/Missouri/USDA-007677-001/2022,3/14/22,1767,V1,A
EPI_ISL_18133062,A/BlackVulture/Florida/USDA-008152-003/2022,3/14/22,1767,V1,A
EPI_ISL_14937002,A/baldeagle/Georgia/W22-194B/2022,3/14/22,1767,V1,A
EPI_ISL_18132470,A/Ross'sGoose/Iowa/USDA-008376-002/2022,3/15/22,1767,V1,A
EPI_ISL_18132909,A/BaldEagle/Nebraska/USDA-008225-001/2022,3/15/22,1767,V1,B
EPI_ISL_18132556,A/goose/Missouri/USDA-012338-006/2022,3/15/22,1767,V1,B
